Time(s),Torque,signal_0,signal_1,signal_2
0.0,-0.0073260074,-1.8,-0.30000000000000004,18.400000000000002
0.0,-0.0073260074,1.7000000000000002,-0.30000000000000004,18.400000000000002
0.0,-0.0073260074,1.7000000000000002,-0.30000000000000004,18.400000000000002
0.01,0.0024420025,1.7000000000000002,-0.30000000000000004,18.400000000000002
0.01,0.012210012,-1.9000000000000001,0.1,20.1
0.01,0.021978023,-1.9000000000000001,0.1,20.1
0.01,0.041514043,-1.9000000000000001,0.1,20.1
0.01,0.06105006,-1.9000000000000001,0.1,20.1
0.01,0.070818074,-1.9000000000000001,0.1,20.1
0.01,0.105006106,-1.9000000000000001,0.1,20.1
0.02,0.12942614,-1.9000000000000001,0.1,20.1
0.02,0.14896215,-1.9000000000000001,0.1,20.1
0.02,0.17826618,-1.9000000000000001,0.1,20.1
0.02,0.1978022,-1.9000000000000001,0.1,20.1
0.02,0.22222222,-1.9000000000000001,0.2,20.1
0.02,0.22710623,-1.9000000000000001,0.2,20.1
0.03,0.24664225,-1.9000000000000001,0.2,20.1
0.03,0.25152627,-1.9000000000000001,0.2,20.1
0.03,0.26617828,-1.9000000000000001,0.2,20.1
0.03,0.27106228,-1.9000000000000001,0.2,20.1
0.03,0.2759463,-1.9000000000000001,0.2,20.1
0.03,0.2759463,-1.9000000000000001,0.2,20.1
0.03,0.2808303,-1.9000000000000001,0.2,20.1
0.03,0.2759463,-1.9000000000000001,0.2,20.1
0.04,0.2759463,-1.9000000000000001,0.1,20.200000000000003
0.04,0.2759463,-1.9000000000000001,0.1,20.200000000000003
0.04,0.27106228,-1.9000000000000001,0.1,20.200000000000003
0.04,0.26617828,-1.9000000000000001,0.1,20.200000000000003
0.04,0.26129428,-1.9000000000000001,0.1,20.200000000000003
0.04,0.25152627,-1.9000000000000001,0.1,20.200000000000003
0.04,0.24175824,-1.9000000000000001,0.1,20.200000000000003
0.04,0.23199023,-1.9000000000000001,0.1,20.200000000000003
0.05,0.22222222,-1.9000000000000001,0.1,20.200000000000003
0.05,0.2026862,-1.9000000000000001,0.1,20.200000000000003
0.05,0.1978022,-1.9000000000000001,0.2,20.200000000000003
0.05,0.18803419,-1.9000000000000001,0.2,20.200000000000003
0.05,0.18315019,-1.9000000000000001,0.2,20.200000000000003
0.05,0.16849817,-1.9000000000000001,0.2,20.200000000000003
0.05,0.15384616,-1.9000000000000001,0.2,20.200000000000003
0.05,0.14407815,-1.9000000000000001,0.2,20.200000000000003
0.06,0.12942614,-1.9000000000000001,0.2,20.200000000000003
0.06,0.10989011,-1.9000000000000001,0.2,20.200000000000003
0.06,0.0952381,-1.9000000000000001,0.2,20.200000000000003
0.06,0.07570208,-1.9000000000000001,0.2,20.200000000000003
0.06,0.070818074,-1.9000000000000001,0.2,20.200000000000003
0.06,0.06105006,-1.9000000000000001,0.2,20.200000000000003
0.06,0.051282052,-1.9000000000000001,0.2,20.200000000000003
0.07,0.031746034,-1.9000000000000001,0.2,20.200000000000003
0.07,0.026862027,-1.9000000000000001,0.2,20.200000000000003
0.07,0.017094018,-1.9000000000000001,0.2,20.200000000000003
0.07,0.017094018,-1.9000000000000001,0.2,20.200000000000003
0.07,0.0024420025,-1.9000000000000001,0.2,20.200000000000003
0.07,0.0024420025,-1.9000000000000001,0.2,20.200000000000003
0.07,-0.0024420025,-1.9000000000000001,0.2,20.200000000000003
0.07,-0.012210012,-2.0,0.2,20.200000000000003
0.08,-0.021978023,-2.0,0.2,20.200000000000003
0.08,-0.021978023,-2.0,0.2,20.200000000000003
0.08,-0.031746034,-2.0,0.2,20.200000000000003
0.08,-0.046398047,-2.0,0.2,20.200000000000003
0.08,-0.046398047,-2.0,0.2,20.200000000000003
0.08,-0.046398047,-2.0,0.2,20.200000000000003
0.08,-0.051282052,-2.0,0.2,20.200000000000003
0.08,-0.06593407,-2.0,0.2,20.200000000000003
0.09,-0.06593407,-2.0,0.2,20.200000000000003
0.09,-0.06593407,-2.0,0.2,20.200000000000003
0.09,-0.07570208,-2.0,0.2,20.200000000000003
0.09,-0.07570208,-2.0,0.2,20.200000000000003
0.09,-0.07570208,-2.0,0.2,20.200000000000003
0.09,-0.08058608,-2.0,0.2,20.200000000000003
0.09,-0.08547009,-2.0,0.2,20.200000000000003
0.1,-0.08058608,-2.0,0.2,20.200000000000003
0.1,-0.08058608,-2.0,0.2,20.200000000000003
0.1,-0.08058608,-2.0,0.2,20.200000000000003
0.1,-0.08058608,-2.0,0.2,20.200000000000003
0.1,-0.08058608,-2.0,0.2,20.200000000000003
0.1,-0.07570208,-2.0,0.2,20.1
0.1,-0.07570208,-2.0,0.2,20.1
0.1,-0.07570208,-2.0,0.2,20.1
0.11,-0.08058608,-2.0,0.2,20.1
0.11,-0.06105006,-2.0,0.2,20.1
0.11,-0.06593407,-2.0,0.2,20.1
0.11,-0.06105006,-2.0,0.2,20.1
0.11,-0.056166057,-2.0,0.2,20.1
0.11,-0.046398047,-2.0,0.2,20.1
0.11,-0.046398047,-2.0,0.2,20.1
0.11,-0.041514043,-2.0,0.2,20.200000000000003
0.11,-0.03663004,-2.0,0.2,20.200000000000003
0.11,-0.031746034,-2.0,0.2,20.200000000000003
0.12,-0.026862027,-2.0,0.2,20.200000000000003
0.12,-0.026862027,-2.0,0.2,20.200000000000003
0.12,-0.017094018,-2.0,0.2,20.200000000000003
0.12,-0.012210012,-2.0,0.2,20.200000000000003
0.12,-0.0073260074,-2.0,0.2,20.200000000000003
0.12,-0.0024420025,-2.0,0.2,20.200000000000003
0.12,0.0024420025,-2.0,0.2,20.200000000000003
0.13,0.0073260074,-2.0,0.2,20.200000000000003
0.13,0.012210012,-2.0,0.2,20.200000000000003
0.13,0.021978023,-2.0,0.2,20.200000000000003
0.13,0.026862027,-2.0,0.2,20.200000000000003
0.13,0.031746034,-2.0,0.2,20.200000000000003
0.13,0.031746034,-2.0,0.2,20.200000000000003
0.14,0.03663004,-2.0,0.2,20.200000000000003
0.14,0.03663004,-2.0,0.2,20.200000000000003
0.14,0.046398047,-2.0,0.2,20.200000000000003
0.14,0.051282052,-2.0,0.2,20.200000000000003
0.14,0.06105006,-2.0,0.2,20.200000000000003
0.14,0.06593407,-2.0,0.2,20.200000000000003
0.14,0.08547009,-2.0,0.2,20.200000000000003
0.14,0.08547009,-2.0,0.2,20.200000000000003
0.15,0.08547009,-2.0,0.2,20.200000000000003
0.15,0.09035409,-2.0,0.2,20.200000000000003
0.15,0.1001221,-2.0,0.2,20.200000000000003
0.15,0.1001221,-2.0,0.2,20.200000000000003
0.15,0.1001221,-2.0,0.2,20.200000000000003
0.15,0.114774115,-2.0,0.2,20.200000000000003
0.15,0.114774115,-2.0,0.2,20.200000000000003
0.16,0.114774115,-2.0,0.2,20.200000000000003
0.16,0.11965812,-2.0,0.2,20.200000000000003
0.16,0.11965812,-2.0,0.2,20.200000000000003
0.16,0.124542125,-2.0,0.2,20.200000000000003
0.16,0.11965812,-2.0,0.2,20.200000000000003
0.16,0.124542125,-2.0,0.2,20.200000000000003
0.16,0.11965812,-2.0,0.2,20.200000000000003
0.17,0.11965812,-2.0,0.2,20.200000000000003
0.17,0.10989011,-2.0,0.2,20.200000000000003
0.17,0.114774115,-2.0,0.2,20.200000000000003
