Time(s),Torque,signal_0,signal_1,signal_2
0.0,0.0024420025,-2.9000000000000004,0.8,18.5
0.01,-0.0024420025,-0.8,0.8,16.400000000000002
0.01,0.012210012,-0.8,0.8,16.3
0.02,0.06105006,-0.8,0.8,16.3
0.02,0.14407815,-0.8,0.8,16.3
0.02,0.26129428,-0.8,0.8,16.2
0.03,0.26129428,-0.8,0.8,16.2
0.03,0.31013432,-0.8,0.8,16.2
0.03,0.32478634,-0.8,0.8,16.2
0.04,0.34920636,-0.7000000000000001,0.8,16.2
0.04,0.35897437,-0.7000000000000001,0.8,16.2
0.04,0.37362638,-0.7000000000000001,0.8,16.2
0.04,0.3882784,-0.7000000000000001,0.8,16.2
0.05,0.3833944,-0.7000000000000001,0.8,16.2
0.05,0.3833944,-0.30000000000000004,0.9,16.3
0.05,0.3785104,-0.30000000000000004,0.9,16.3
0.05,0.36874238,-0.30000000000000004,0.9,16.3
0.06,0.35409036,-0.30000000000000004,0.9,16.3
0.06,0.33455434,-0.30000000000000004,0.9,16.3
0.06,0.31501833,-0.30000000000000004,1.1,16.400000000000002
0.06,0.30525032,-0.30000000000000004,1.1,16.400000000000002
0.06,0.3003663,-0.30000000000000004,1.1,16.400000000000002
0.07,0.2808303,-0.30000000000000004,1.1,16.400000000000002
0.07,0.26617828,-0.30000000000000004,1.1,16.400000000000002
0.07,0.25152627,-0.30000000000000004,1.1,16.400000000000002
0.07,0.24175824,-0.30000000000000004,1.1,16.400000000000002
0.07,0.22222222,-0.30000000000000004,1.1,16.400000000000002
0.07,0.20757021,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.17826618,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.16849817,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.15384616,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.14896215,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.13431014,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.10989011,0.30000000000000004,1.2000000000000002,16.400000000000002
0.08,0.1001221,0.30000000000000004,1.2000000000000002,16.400000000000002
0.09,0.08547009,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.08058608,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.08058608,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.070818074,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.06593407,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.056166057,0.6000000000000001,1.4000000000000001,16.400000000000002
0.09,0.051282052,0.6000000000000001,1.4000000000000001,16.400000000000002
0.1,0.046398047,0.6000000000000001,1.4000000000000001,16.400000000000002
0.1,0.03663004,0.6000000000000001,1.4000000000000001,16.400000000000002
0.1,0.03663004,0.6000000000000001,1.4000000000000001,16.400000000000002
