Time(s),Torque,signal_0,signal_1,signal_2
0.0,-0.0073260074,-2.3000000000000003,0.5,15.3
0.01,-0.0073260074,-0.2,1.1,15.9
0.01,0.012210012,-0.2,1.1,15.9
0.01,0.031746034,-0.2,1.1,15.9
0.01,0.070818074,-0.2,1.1,15.9
0.02,0.11965812,-0.2,1.1,15.9
0.02,0.15384616,-0.2,1.1,15.9
0.02,0.1978022,-0.2,1.1,15.9
0.02,0.23199023,-0.2,1.1,15.9
0.03,0.26129428,-0.2,1.0,15.9
0.03,0.2954823,-0.2,1.0,15.9
0.03,0.31990233,-0.2,1.0,15.9
0.03,0.33455434,-0.2,1.0,15.9
0.04,0.34920636,-0.2,1.0,15.9
0.04,0.35409036,-0.2,1.0,15.9
0.04,0.35897437,-0.1,1.1,16.0
0.04,0.36874238,-0.1,1.1,16.0
0.04,0.37362638,-0.1,1.1,16.0
0.04,0.3785104,-0.1,1.1,16.0
0.04,0.37362638,-0.1,1.1,16.0
0.05,0.37362638,-0.1,1.1,16.0
0.05,0.36874238,-0.1,1.1,16.0
0.05,0.36385837,-0.1,1.1,16.0
0.05,0.36385837,-0.1,1.1,16.0
0.05,0.35897437,-0.1,1.1,16.0
0.05,0.35897437,0.2,1.3,16.2
0.05,0.35897437,0.2,1.3,16.2
0.05,0.35409036,0.2,1.3,16.2
0.06,0.34432235,0.2,1.3,16.2
0.06,0.33455434,0.2,1.3,16.2
0.06,0.32967034,0.2,1.3,16.2
0.06,0.31013432,0.2,1.3,16.2
0.06,0.3003663,0.2,1.3,16.2
0.06,0.3003663,0.2,1.3,16.2
0.06,0.2759463,0.2,1.3,16.2
0.07,0.27106228,0.5,1.5,16.2
0.07,0.26129428,0.5,1.5,16.2
0.07,0.24664225,0.5,1.5,16.2
0.07,0.23199023,0.5,1.5,16.2
0.07,0.22710623,0.5,1.5,16.2
0.07,0.20757021,0.5,1.5,16.2
0.07,0.1978022,0.5,1.5,16.2
0.07,0.18803419,0.5,1.5,16.2
0.07,0.17338218,0.5,1.5,16.2
0.08,0.15873016,0.5,1.5,16.2
0.08,0.14896215,0.8,1.6,16.2
0.08,0.14407815,0.8,1.6,16.2
0.08,0.12942614,0.8,1.6,16.2
0.08,0.114774115,0.8,1.6,16.2
0.08,0.10989011,0.8,1.6,16.2
0.08,0.105006106,0.8,1.6,16.2
0.08,0.1001221,0.8,1.6,16.2
0.09,0.09035409,0.8,1.6,16.2
0.09,0.07570208,0.8,1.6,16.2
0.09,0.07570208,0.8,1.6,16.2
0.09,0.06593407,0.8,1.6,16.2
0.09,0.06593407,1.1,1.8,16.0
0.09,0.051282052,1.1,1.8,16.0
0.09,0.046398047,1.1,1.8,16.0
0.09,0.03663004,1.1,1.8,16.0
0.09,0.03663004,1.1,1.8,16.0
0.1,0.03663004,1.1,1.8,16.0
0.1,0.026862027,1.1,1.8,16.0
0.1,0.026862027,1.1,1.8,16.0
0.1,0.017094018,1.1,1.8,16.0
0.1,0.017094018,1.1,1.8,16.0
0.1,0.012210012,1.1,1.8,16.0
0.1,0.012210012,1.2000000000000002,1.9000000000000001,16.0
0.1,0.012210012,1.2000000000000002,1.9000000000000001,16.0
0.11,0.012210012,1.2000000000000002,1.9000000000000001,16.0
0.11,0.012210012,1.2000000000000002,1.9000000000000001,16.0
0.11,0.012210012,1.2000000000000002,1.9000000000000001,16.0
0.11,0.0073260074,1.2000000000000002,1.9000000000000001,16.0
0.11,0.017094018,1.2000000000000002,1.9000000000000001,16.0
0.11,0.017094018,1.2000000000000002,1.9000000000000001,16.0
0.11,0.017094018,1.2000000000000002,1.9000000000000001,16.0
0.11,0.026862027,1.2000000000000002,1.9000000000000001,16.0
0.12,0.021978023,1.2000000000000002,1.9000000000000001,16.0
0.12,0.017094018,1.0,1.9000000000000001,15.9
0.12,0.031746034,1.0,1.9000000000000001,15.9
0.12,0.031746034,1.0,1.9000000000000001,15.9
0.12,0.03663004,1.0,1.9000000000000001,15.9
0.12,0.03663004,1.0,1.9000000000000001,15.9
0.12,0.051282052,1.0,1.9000000000000001,15.9
0.12,0.051282052,1.0,1.9000000000000001,15.9
0.13,0.051282052,1.0,1.9000000000000001,15.9
0.13,0.06105006,1.0,1.9000000000000001,15.9
0.13,0.06593407,1.0,1.9000000000000001,15.9
0.13,0.070818074,0.9,1.8,16.0
0.13,0.08058608,0.9,1.8,16.0
0.13,0.08058608,0.9,1.8,16.0
0.13,0.08547009,0.9,1.8,16.0
0.13,0.08547009,0.9,1.8,16.0
0.14,0.0952381,0.9,1.8,16.0
0.14,0.10989011,0.9,1.8,16.0
0.14,0.114774115,0.9,1.8,16.0
0.14,0.114774115,0.9,1.8,16.0
0.14,0.11965812,0.9,1.8,16.0
0.14,0.12942614,0.9,1.8,16.0
0.14,0.12942614,0.9,1.8,16.0
0.14,0.13431014,0.8,1.7000000000000002,16.0
0.14,0.14407815,0.8,1.7000000000000002,16.0
0.14,0.14407815,0.8,1.7000000000000002,16.0
0.15,0.14407815,0.8,1.7000000000000002,16.0
0.15,0.14407815,0.8,1.7000000000000002,16.0
0.15,0.15384616,0.8,1.7000000000000002,16.0
0.15,0.15873016,0.8,1.7000000000000002,16.0
0.15,0.16361417,0.8,1.7000000000000002,16.0
0.15,0.15873016,0.8,1.7000000000000002,16.0
0.15,0.16361417,0.8,1.7000000000000002,16.0
0.15,0.16849817,0.8,1.7000000000000002,16.0
