Time(s),Torque,signal_0,signal_1,signal_2
0.0,-0.012210012,-3.2,1.5,18.2
0.01,0.026862027,-1.2000000000000002,1.4000000000000001,19.1
0.01,0.1001221,-1.2000000000000002,1.4000000000000001,19.1
0.02,0.1001221,-1.2000000000000002,1.4000000000000001,19.1
0.02,0.16849817,-1.2000000000000002,1.4000000000000001,19.1
0.02,0.22710623,-1.2000000000000002,1.4000000000000001,19.1
0.03,0.26617828,-1.2000000000000002,1.4000000000000001,19.1
0.03,0.2954823,-1.2000000000000002,1.4000000000000001,19.1
0.03,0.32967034,-1.1,1.4000000000000001,19.200000000000003
0.03,0.34432235,-1.1,1.4000000000000001,19.200000000000003
0.04,0.35897437,-1.1,1.4000000000000001,19.200000000000003
0.04,0.3785104,-1.1,1.4000000000000001,19.200000000000003
0.04,0.3833944,-1.1,1.4000000000000001,19.200000000000003
0.04,0.3931624,-0.8,1.4000000000000001,19.400000000000002
0.05,0.3980464,-0.8,1.4000000000000001,19.400000000000002
0.05,0.3931624,-0.8,1.4000000000000001,19.400000000000002
0.05,0.3882784,-0.8,1.4000000000000001,19.400000000000002
0.05,0.3785104,-0.8,1.4000000000000001,19.400000000000002
0.06,0.36385837,-0.4,1.5,19.8
0.06,0.35897437,-0.4,1.5,19.8
0.06,0.33943835,-0.4,1.5,19.8
0.06,0.33455434,-0.4,1.5,19.8
0.06,0.31990233,-0.4,1.5,19.8
0.06,0.31501833,-0.4,1.5,19.8
0.06,0.2905983,-0.4,1.5,19.8
0.07,0.2808303,-0.4,1.5,19.8
0.07,0.26617828,-0.4,1.5,19.8
0.07,0.26129428,-0.4,1.5,19.8
0.07,0.24175824,-0.1,1.6,20.200000000000003
0.07,0.21733822,-0.1,1.6,20.200000000000003
0.07,0.21733822,-0.1,1.6,20.200000000000003
0.07,0.20757021,-0.1,1.6,20.200000000000003
0.08,0.18315019,-0.1,1.6,20.200000000000003
0.08,0.16849817,-0.1,1.6,20.200000000000003
0.08,0.16361417,-0.1,1.6,20.200000000000003
0.08,0.13919415,-0.1,1.6,20.200000000000003
0.08,0.12942614,-0.1,1.6,20.200000000000003
0.08,0.124542125,0.1,1.6,20.5
0.08,0.114774115,0.1,1.6,20.5
0.08,0.105006106,0.1,1.6,20.5
0.09,0.0952381,0.1,1.6,20.5
0.09,0.06593407,0.1,1.6,20.5
0.09,0.06593407,0.1,1.6,20.5
0.09,0.056166057,0.1,1.6,20.5
0.09,0.051282052,0.1,1.6,20.5
0.09,0.046398047,0.30000000000000004,1.8,20.700000000000003
0.09,0.041514043,0.30000000000000004,1.8,20.700000000000003
0.1,0.026862027,0.30000000000000004,1.8,20.700000000000003
0.1,0.026862027,0.30000000000000004,1.8,20.700000000000003
0.1,0.021978023,0.30000000000000004,1.8,20.700000000000003
0.1,0.017094018,0.30000000000000004,1.8,20.700000000000003
0.1,0.012210012,0.30000000000000004,1.8,20.700000000000003
0.1,0.012210012,0.30000000000000004,1.8,20.700000000000003
0.1,0.0073260074,0.30000000000000004,1.8,20.700000000000003
0.1,0.0073260074,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0024420025,0.30000000000000004,1.8,20.700000000000003
0.11,0.0073260074,0.30000000000000004,1.8,20.700000000000003
0.11,0.0073260074,0.30000000000000004,1.8,20.700000000000003
0.11,0.012210012,0.30000000000000004,1.8,20.700000000000003
0.11,0.012210012,0.30000000000000004,1.8,20.700000000000003
0.12,0.012210012,0.30000000000000004,1.8,20.700000000000003
0.12,0.017094018,0.30000000000000004,1.8,20.700000000000003
0.12,0.021978023,0.30000000000000004,1.8,20.700000000000003
0.12,0.026862027,0.30000000000000004,1.8,20.700000000000003
0.12,0.026862027,0.1,1.8,20.6
0.12,0.031746034,0.1,1.8,20.6
0.12,0.03663004,0.1,1.8,20.6
0.12,0.041514043,0.1,1.8,20.6
0.12,0.041514043,0.1,1.8,20.6
0.13,0.051282052,0.1,1.8,20.6
0.13,0.056166057,0.1,1.8,20.6
0.13,0.06105006,0.1,1.8,20.6
0.13,0.06105006,0.1,1.8,20.6
0.13,0.06593407,0.1,1.8,20.6
0.13,0.06593407,0.1,1.8,20.6
0.13,0.08058608,0.1,1.8,20.400000000000002
0.13,0.08547009,0.1,1.8,20.400000000000002
0.13,0.08058608,0.1,1.8,20.400000000000002
0.14,0.0952381,0.1,1.8,20.400000000000002
0.14,0.0952381,0.1,1.8,20.400000000000002
0.14,0.0952381,0.1,1.8,20.400000000000002
0.14,0.10989011,0.1,1.8,20.400000000000002
0.14,0.105006106,0.1,1.8,20.400000000000002
0.14,0.11965812,0.1,1.8,20.400000000000002
0.14,0.124542125,0.1,1.8,20.400000000000002
0.14,0.124542125,0.1,1.8,20.400000000000002
0.14,0.124542125,0.1,1.8,20.400000000000002
0.15,0.13431014,-0.1,1.8,20.200000000000003
0.15,0.13431014,-0.1,1.8,20.200000000000003
0.15,0.13919415,-0.1,1.8,20.200000000000003
0.15,0.14407815,-0.1,1.8,20.200000000000003
0.15,0.14896215,-0.1,1.8,20.200000000000003
