Time(s),Torque,signal_0,signal_1,signal_2
0.0,0.0024420025,-3.2,1.3,18.400000000000002
0.0,-0.0073260074,-1.2000000000000002,1.1,17.5
0.01,0.0024420025,-1.2000000000000002,1.1,17.5
0.01,0.026862027,-1.2000000000000002,1.1,17.5
0.01,0.070818074,-1.2000000000000002,1.1,17.5
0.02,0.11965812,-1.2000000000000002,1.1,17.5
0.02,0.18315019,-1.2000000000000002,1.1,17.5
0.02,0.21245421,-1.2000000000000002,1.1,17.5
0.02,0.23199023,-1.2000000000000002,1.1,17.5
0.03,0.26129428,-1.2000000000000002,1.1,17.5
0.03,0.2905983,-1.2000000000000002,1.1,17.5
0.03,0.31990233,-1.2000000000000002,1.1,17.5
0.03,0.32967034,-1.1,1.1,17.5
0.04,0.34920636,-1.1,1.1,17.5
0.04,0.35409036,-1.1,1.1,17.5
0.04,0.36874238,-1.1,1.1,17.5
0.05,0.37362638,-1.1,1.1,17.5
0.05,0.3785104,-0.8,1.1,17.6
0.05,0.36874238,-0.8,1.1,17.6
0.05,0.35897437,-0.8,1.1,17.6
0.05,0.35409036,-0.8,1.1,17.6
0.06,0.34920636,-0.8,1.1,17.6
0.06,0.33455434,-0.8,1.1,17.6
0.06,0.31990233,-0.4,1.2000000000000002,17.7
0.06,0.30525032,-0.4,1.2000000000000002,17.7
0.06,0.2905983,-0.4,1.2000000000000002,17.7
0.06,0.2808303,-0.4,1.2000000000000002,17.7
0.06,0.27106228,-0.4,1.2000000000000002,17.7
0.07,0.25641027,-0.4,1.2000000000000002,17.7
0.07,0.25152627,-0.4,1.2000000000000002,17.7
0.07,0.22710623,-0.4,1.2000000000000002,17.7
0.07,0.22222222,-0.4,1.2000000000000002,17.7
0.07,0.20757021,-0.4,1.3,17.7
0.07,0.18803419,-0.4,1.3,17.7
0.07,0.17826618,-0.4,1.3,17.7
0.08,0.16361417,-0.4,1.3,17.7
0.08,0.14896215,-0.4,1.3,17.7
0.08,0.13919415,-0.4,1.3,17.7
0.08,0.114774115,-0.4,1.3,17.7
0.08,0.10989011,-0.4,1.3,17.7
0.08,0.1001221,-0.4,1.3,17.7
